text,keywords
"все стартовые позиции июля 2019 в одном посте🤘🏻 начни карьеру с оплачиваемой стажировки уже сегодня!

• эникейщик / помощник системного администратора — https://vk.cc/9ygfws

• стажер в отдел тестирования (linux) — https://vk.cc/9cjtyf

• стажер отдела маркетинга и продаж — https://vk.cc/9cjujk

• стажёр отдела логистики — https://vk.cc/9cjvcn

• программист java (junior java) — https://vk.cc/9cjvw7

• помощник системного администратора — https://vk.cc/9cjvtx

• data scientist intern — https://vk.cc/9cjw9f

• младший оператор-технолог — https://vk.cc/9cjwoi

• junior ios-developer — https://vk.cc/9cjwmq

• product owner (стажировка с трудоустройством) — https://vk.cc/9cjx13

• стажёр отдела маркетинга — https://vk.cc/9cjxkv

• python-разработчик систем распознавания изображений (стажировка) — https://vk.cc/9rdyky

ещё больше вакансий и стажировок по ссылке —https://vk.cc/9ea3jw
#итмовакансия #итмостажировка","['java', 'c', 'python', 'linux', 'тестирование', 'разработчик']"
"дайджест вакансий мая 2019 🙌🏻 #итмовакансия

часть 1.

все открытые позиции компании bsh по ссылке - https://vk.cc/9pxiht

junior продуктовый аналитик - https://vk.cc/9pxkg8

вакансии it-компании vigo - https://vk.cc/9pxldt

стажер в epam - https://vk.cc/9pxlip

позиции в компанию «сапфир» - https://vk.cc/9pxmsh

инженер-программист - https://vk.cc/9pxn0o

специалист по системам радиосвязи и телекоммуникаций - https://vk.cc/9rdxm7

стажировка рython-разработчиком системы распознавания изображений - https://vk.cc/9rdyky","['аналитик', 'разработчик', 'инженер']"
"от стажировки до реального трудоустройства отделяют не только упорство и безумное желание самосовершенствоваться, но и любовь к своему делу, конечно же! о чем же еще можно говорить в день любви ❤
 [id30517599|алёна дмитриевская], выпускница магистратуры 2018 года, пару месяцев назад успешно прошла аттестацию с уровня junior до уровня middle на позиции software engineer в компании epam. о том, как еще будучи студентом, найти свою стезю, читаем в личном интервью с алёной.",[]
"компания huawei открыла набор на стажировки в исследовательские центры санкт-петербурга, москвы и дунгуань.",[]
конкурс на участие в программе семестрового обмена начнется уже совсем скоро! так что скорее записывайтесь на тестирование уровня английского языка в группе [club111357633|университет итмо | английский язык]🤗,"['c', 'тестирование', 'английский']"
"на стажировку через ""школу.net-разработки"", на работу через стажировку🏂

открыт набор на бесплатный курс по разработке в ""школу.net-разработки"" от digital design. 
 
вы познакомитесь с клиент-серверной архитектурой, web api и spa, поработаете с asp.net mvc, ms sql и entity framework. кроме теоретической части будет много практики. 
 
по окончании обучения у вас будет собственное портфолио, а лучшие студенты получат возможность пройти стажировку в компании с дальнейшим трудоустройством 👍🏻
 
‼регистрация открыта до 14.11.2019‼ 
 
 
заполнить заявку на обучение https://digdes.ru/it-university/courses/net-razrabotka","['c', 'разработка']"
"#итмостажировка от colliers international 🙌🏻

стажировки открыты по направлениям:

• департамент торговой недвижимости;
• департамент оценки;
• департамент офисной недвижимости;
• департамент маркетинга и pr; 
• департамент жилой недвижимости; 
• департаменты консалтинга и инвестиции; 
• департамент исследований (аналитики).

стажировки подходят для:
• студентов старших курсов; 
• заинтересованных в сфере консалтинга по коммерческой недвижимости; 
• со знанием английского на уровне не ниже intermediate. 

условия стажировки: 
• от 3 до 6 месяцев (возможно оформление как практики); 
• гибкий график - 20 часов в неделю; 
• неоплачиваемая.

резюме присылать на почту hr.spb@colliers.com или писать [id236330345|в личные сообщения].","['c', 'аналитик', 'английский']"
"#итмовакансия #итмостажировка

программист unity компания mytona - https://vk.cc/99vofy

hr (подбор персонала) компания сотер - https://vk.cc/99vqet

it-консультант (аналитик) компания profi credit - https://vk.cc/99vrac

программист-стажер компания bs lab - https://vk.cc/99vrgf

 младший программист c++ компания нао инкарт - https://vk.cc/99vsx5

программист c++ компания mytona - https://vk.cc/99vtsj","['c', 'аналитик']"
"присоединяйся к it-подразделению альфа-банка через оплачиваемую стажировку «i choose alfa».

стажировка проходит в санкт-петербурге в позициях: разработчик на .net или на javascript и тестировщик на .net. 
опыт работы не обязателен, главное — показать знания и стремление учиться и работать.
‼подаем заявку на сайте https://vk.cc/9l3f99.

еще больше стажировок в нашей рубрике —-----> #итмостажировка","['java', 'c', 'javascript', 'тестировщик', 'разработчик']"
"и еще одна #итмостажировка в сегодняшний непростой послепраздничный понедельник 😉

компания [club8711976|кпмг россия] объявляет набор в департамент аудита.

магистранты и выпускники бакалавриата! отличная возможность для вас пройти test drive day! 

• написать тест в офисе – пройти первый этап отбора, результаты которого будут действительны 1 год.
• написать тест повторно, если раньше не получилось.
• задать волнующие вопросы hr специалистом и сотрудникам аудита.
• пройти hr интервью в тот же день.

когда: 20 марта, 10:30 
где: санкт-петербург, офис кпмг, ул. марата, 69-71 
дополнительная информация: +7 (812) 313-73-00, hrstp@kpmg.ru 

регистрация на мероприятие по ссылке: https://vk.cc/97t8o2",['c']
"национальный центр когнитивных разработок университета итмо ищет кандидатов на стажировку! 
срок от шести месяцев до одного года, работа оплачиваемая, график 5/2. 
главные требования - ученая степень не ниже кандидата наук или опыт руководящей работы не менее пяти лет (а лучше все вместе!) 
отбор кандидатов будет проходить в три этапа. первый – прием заявок, закончится 1 декабря. 
подробнее о центр когнитивных разработок и вакансии здесь:",['разработка']
"вечерний дайджест вакансий в сфере it 🔥

❗стажеры в компанию epam:
- стажер лаборатории ерам - https://vk.cc/9b6w0s
- cтажер java and test automation - https://vk.cc/9b6wtf
- стажер javascript development - https://vk.cc/9b6wpt
- стажер core java - https://vk.cc/9b6xqj

❗позиция junior qa engineer в компанию 8 base - https://vk.cc/9b6v3k 

❗позиция программист-разработчик c++ в компанию умные решения - https://vk.cc/9b6yyl

❗аналитик-консультант bitrix24 в компанию symmetron - https://vk.cc/9bsmps

❗ android developer в компанию glamy - https://vk.cc/9bsonu

❗стажер-программист в  karfidov lab - https://vk.cc/9brpmy","['java', 'c', 'javascript', 'bi', 'аналитик', 'разработчик']"
"компания юлмарт приглашает студентов и выпускников на стажировку и практику по направлениям: 

📍маркетинг 
📍закупка 
📍финансы 
📍информационные технологии 
📍логистика 
📍продажи 

стажировка продлится от 1 до 3 месяцев. программа позволит получить практические знания и позитивный опыт достижения амбициозных бизнес-целей, обучиться профессии, развить soft и hard skills, а также это прекрасная возможность последующего трудоустройства в компанию. 

требования:

- высшее/неоконченное высшее образование 
- высокая степень самодисциплины и ответственности 
- высокие аналитические способности 
- внимание к деталям 
- нацеленность на результат 
 
✉запрос прислать на почту: student@ulmart.ru. 
телефон для связи: +7 (812) 336-37-77 

#итмовакансия #итмостажировка",[]
"📣оплачиваемая стажировка на производстве в компании p&g в санкт-петербурге! 

компания в поиске студента последних курсов обучения или выпускника (не более 3 лет назад), свободно владеющего английским языком, обладающего отличными навыками в построении коммуникаций и желанием учиться и проявлять инициативу. умение аналитически мыслить будет огромным преимуществом.

компания гарантирует полное вовлечение в работу с первого дня, зп 65к, развозку от м.московская, компенсацию обеда на территории предприятия.

🚀успей подать заявку https://vk.cc/9dbvgu

p.s. по всем вопросам обращаться к представителю компании, кириллу березкину, berezkin.kv@pg.com, +79602783338

#итмостажировка","['c', 'английский']"
"а вы уже знаете, чем займётесь летом? у нас есть предложение 🕺 

приходите на летнюю стажировку в яндекс! лето в яндексе — это три месяца оплачиваемой работы бок о бок с ментором, возможность подтянуть свои знания и поработать с настоящими, боевыми задачами. 

мы ждём студентов и выпускников вузов, которым интересна стажировка по направлениям: бэкенд- или фронтенд-разработка, аналитика, машинное обучение, мобильная разработка.

ещё сомневаетесь? приходите 21 февраля в наш московский офис, чтобы пообщаться с командами разных сервисов, послушать про работу и узнать секреты прохождения собеседований на стажировку. если вы не можете присутствовать лично, ничего страшного — мы организуем онлайн-трансляцию: https://ya.cc/55gt2

#летовяндексе","['машинный обучение', 'аналитик', 'разработка']"
"#итмостажировка

торгово-промышленная группа «тайпит» в поиске амбициозных стажеров по направлениям: разработчик 1с, программист (с++, с#), инвестиционный аналитик. 
✉резюме отправлять на e.yakimenko@taipit.ru. не забудьте указать название стажировки!

📎разработчик 1с 

• участие в процессе разработки на платформе 1с 8.3 (управляемые формы) в качестве разработчика по тз, разработанным бизнес-аналитиками; 
• проработка технических решений совместно с бизнес-аналитиками, системным и бизнес-архитектором; 
• поддержка корпоративных информационных систем 1с на третьей линии (без прямого контакта с пользователями). 
 
📎отдел развития 

• сбор, анализ и структурирование информации; 
• разбиение деятельности компании на бизнес-процессы и формирование рекомендаций по их оптимизации; 
• ведение переговоров с реальными инициаторами проекта или действующими управляющими бизнесов;
• приобретение практических навыков владения excel в части построения финансово-экономических моделей и оценки инвестиционной привлекательности бизнес-проектов, торговых проектов, оценки полноты входной информации по расходам. 
 
📎программист (с++, с#) 

• поддержка и доработка существующего по;
• работа с по собственной разработки.","['c', 'аналитик', 'разработка', 'разработчик']"
"выпускники и студенты последних курсов обучения! новость дня для вас!

технологический стартап air&soil technologies занимается разработкой роботизированных устройств для агропромышленных компаний, используя, инновационные методы и технологии, такие как компьютерное зрение, искусственный интеллект и машинное обучение. всё это помогает фермерам увеличить урожай и прибыль, сократить использования химикатов и защитить окружающую среду. 

сейчас стартап пребывает в поиске талантливых инженеров и программистов из таких областей, как робототехника / компьютерное зрение / машинное обучение / искусственный интеллект. 

обязанности:

• внедрение систем классификации, основанных на глубоком обучении, для выявления характеристики и классификации различных объектов в агро-промышленности с использованием камеры, радара, сенсора и т.д. 
• изучение и разработка новых методов обнаружения, повышения производительности и увеличения скорости работы по. 
• работа с командой разработчиков программного обеспечения. тестирование по в лабораторных условиях, а также готовность внедрять по в роботизированные системы в полевых условиях. 
• разработка по вместе с системными программистами, а также готовность помочь в разработке конвейеров обработки данных и аннотаций для непрерывного мониторинга и улучшения системы. 

требования к кандидатам:

• 2+ лет разработки алгоритмов и решения проблем в области компьютерного зрения, в разработке систем машинного обучения, с опытом работы в системах глубокого обучения (предпочтительнее tensorflow).
• адаптация с последними исследованиями в области восприятия, машинного обучения, глубокого обучения и робототехники. 
• хорошие знания в c ++ , python, opencv, tensorflow/pytorch, pandas, matlab и matplotlib 
• внимание к деталям и умение работать самостоятельно, коммуникативные и навыки работы в команде. 

резюме отправлять на адрес akmal.kholikulov@gmail.com или в [id299310374|личные сообщения].

#итмостажировка #итмовакансия","['c', 'python', 'машинный обучение', 'тестирование', 'разработка', 'разработчик', 'инженер']"
"[club91635769|вконтакте] приглашает на стажировку! нам неважно, школьник вы или студент, работаете в сфере it или пока нет. если вам интересно узнать больше о вконтакте и сделать свой вклад в развитие платформы — до 26 мая включительно отправьте заявку на участие в программе. 
 
8 команд на два месяца возьмут под своё крыло от одного до трёх стажёров. если вы окажетесь среди них, то будете работать в доме зингера — над реальными задачами, которые каждый день решают сотрудники вконтакте, и над экспериментальными заданиями, результатом которых станет законченный продукт. опытные наставники введут вас в курс дела, поделятся знаниями и помогут реализовать ваши идеи. за свой труд вы получите денежное вознаграждение и приятные бонусы: тематические сувениры и сертификат о прохождении стажировки. 
 
стажировка начнётся 15 июля. все новости программы будут в сообществе [club91635769|vk education], а подать заявку можно здесь: vk.com/jobs 
 
больше о командах и задачах, которые ждут стажёров, читайте в статье:",['c']
"выпускной прошел, а вакансии для выпускников остались! 🙌🏻 время вспомнить и не упустить шанс!

biocad — вливайся в инновационную команду — https://vk.cc/6pbgzv. 

data art — изучаем, выбираем, подаем заявки здесь — https://vk.cc/9uplia.

coca-cola — программа ускоренного развития на производстве — https://vk.cc/9xu3nt.

вконтакте — работай в одном из самых крутых it-проектов россии — vk.com/jobs.

selectel — актуальные вакансии смотреть здесь — https://vk.cc/9uo35j, резюме присылать сюда —hr@selectel.ru.

p&g — вакансия на производстве в спб — https://vk.cc/9dbvgu.

advert school — трудоустройство через стажировку и обучение — https://vk.cc/9z7zsh.

air & soil — попробуй силы в технологическом стартапе — https://vk.cc/9z7ymr.

emergn — программы для выпускников — https://vk.cc/9vdp6w.

газпром — шанс начать успешную карьеру у тебя в руках — http://gpn-nastart.ru/.","['c', 'bi']"
"ежегодный hr кейс-чемпионат в компании анкор — это отличная возможность: 

•попробовать себя в сфере hr и решить интересный кейс; 
•получить полезные призы от компании и попасть на стажировку или работу; 
•прославить вуз победой на одном из самых масштабных студенческих мероприятий в сфере hr! 😉 

регистрация и подробная информация по qr-коду или в инстаграм (смотрим картинку ниже).",[]
"напоминаем, что если хочешь учиться за границей, то скорее участвуй в конкурсе на участие в программе семестрового обмена!
 
дедлайн приема заявок: 22 сентября (включительно). 
 
подробный гид и больше информации — https://vk.cc/9nrfqi и [club170961088|itmo student exchange]",['c']
"#итмовакансия #итмостажировка
‼позиция, которую вы можете перезачесть как практику‼

молодая и энергичная команда iq consultancy ждет студента последних курсов обучения/выпускника на позицию системного администратора (эникейщика). основное направление работы компании iq consultancy — обучение за рубежом. подробнее знакомимся по ссылке — https://vk.cc/8br0le.

в ходе работы вы познакомитесь с аgile методологией и работой в команде, с такими системами как trello, bitrix24, moodle, bitrix framework, asterisk, crm и др. 
 
основные обязанности: 
- помощь пользователям (нашим сотрудникам) 
- выкладка контента на сайты компании 
 
первоначальные входные требования:
- знание html / css
- уверенное пользование windows
- грамотная речь
- тактичность
- желание учиться.

первоначально график плавающий (30 часов), что дает возможность совмещать с учебой. в ходе работы в компании вы проходите обучение, и при успешном завершении испытательного срока вас трудоустраивают на полную ставку 🙌🏻 

с вакансией вы также можете ознакомиться на нашем сайте — https://vk.cc/9ygfws
резюме присылайте на почту kk@iqmail.me или по ссылке на описание вакансии.","['c', 'bi']"
"#итмостажировка 
#итмовакансия

компания selectel в поиске...

🚀практиканта в отдел офисного администрирования - https://vk.cc/9kwsmg.

🚀практиканта в инженерно-технический отдел - https://vk.cc/9kwtfd.

🚀практиканта по администрированию сервисов - https://vk.cc/9kwtm7.

🚀практиканта по информационной безопасности - https://vk.cc/9kwu4v.

🚀специалиста отдела технической поддержки - https://vk.cc/9kwudm.

🚀системного администратора dns отдела openstack - https://vk.cc/9kwuys.

🚀проектировщика интерфейсов - https://vk.cc/9kwvks.

🚀дата-аналитика - https://vk.cc/9kwvyt.

🚀junior frontend-разработчика - https://vk.cc/9kwwgt.

успехов 🙌🏻","['c', 'frontend', 'аналитик', 'разработчик', 'инженер']"
"международный интегратор ит-решений [club22833342|первый бит] приглашает выпускников 2019 года на стажировку! #итмостажировка 

в рамках летней школы 1с вы сможете пройти полноценное обучение в группе единомышленников, решить свои первые задачи с наставником уровня эксперт 1с, поверить знания, пройдя официальную сертификацию 1с. 

продолжительность обучения — 3 недели.
группы по 6-8 человек.
основные предметы — администрирование и программирование в среде 1с.
начало курса — 1.07.2019.
 
успешное окончание курса — возможность дальнейшего трудоустройства в компанию [club22833342|первый бит], 
начало курса - 01 июля 2019 года. 
 
для записи отправьте сообщение в telegram или whatsapp +7 921 885 25 58.",['c']
"рексофт — одна из ведущих российских it компаний запускает бесплатный 2 месячный курс для обучения функциональному языку программирования erlang и дальнейшего отбора инженеров-стажеров на действующий международный проект. 

к участию и обучению приглашаются студенты выпускных курсов и недавние выпускники.

p.s. в течение обучения вы будете работать над индивидуальным проектом, т.е. результат обучения в школе вы сможете добавить в резюме, а также перезачесть практику будущего семестра.

подробнее на сайте — https://vk.cc/9pfqjv.",['инженер']
"#итмостажировка в torrow technologies (http://torrowtech.com) по направлениям:
 
- разработчик программного обеспечения (frontend и backend) 
- аналитик программного обеспечения 
- инженер автоматизации тестирования 
- devops инженер 
 
интересно? для личного знакомтсва с компанией приходите на встречу 16 октября (среда) и 17 октября (четверг) в 18:00. 

старт новой группы обучения — 29 октября. 
программа доступна на сайте — https://vk.cc/92anol
 
резюме и вопросы по стажировке направляйте на адрес электронной почты hr@torrowtech.com.","['c', 'frontend', 'backend', 'аналитик', 'тестирование', 'разработчик', 'инженер']"
"#инфотекс запускает набор на оплачиваемую #стажировку. если ты студент и хочешь получить опыт профессиональной коммерческой разработки в одной из топовых компаний в области защиты информации, то скорее заполняй анкету!

уже в начале весны у тебя будет возможность присоединиться к команде инфотекс. в течении 4 месяцев ты прокачаешь свои скиллы без отрыва от учёбы с возможностью дальнейшего трудоустройства в компанию.

направления стажировки:
санкт-петербург — c, c++, с#, python, разработчик-исследователь (c, linux), devops (build инженер), системный аналитик;
томск — с, c++, с#, python, ios разработчик, разработчик-исследователь (c, linux), ручное тестирование, devops (build инженер), системный аналитик;
уфа — с, разработчик-исследователь (c, linux), ручное тестирование, devops (build инженер), системный аналитик.

не упусти свой шанс и заполни анкету: https://vk.com/@infotecs_hr-stazhirovka-v-infoteks

заявки принимаются до 10 февраля.","['c', 'python', 'linux', 'аналитик', 'тестирование', 'разработка', 'разработчик', 'инженер']"
"#итмостажировка от компании «газпром нефть»🕺

магистранты 2-го курса и бакалавры 4-го курса.
направления обучения: экономика, финансы, бизнес-информатика, информационные технологии.

все правила подачи на стажировку - в документе, приложенном к посту.

сроки подачи заявки на стажировку - до 10 марта.
окончательный отбор и результаты - 25 марта.

не упускайте шанс, ребята!",[]
"вечер-вечерок, а значит пришло время для #итмостажировка 🚀

что тебя ждет на стажировке в biocad?

∙ комфортный офис; 
∙ высокий темп работы и множество интересных проектов; 
∙ наставники — лучшие эксперты отрасли; 
∙ работа в небольших командах под руководством наставника; 
∙ возможность дальнейшего роста и развития в компании при успешном прохождении стажировки. 
 
срок: от 1 до 3 месяцев в летние месяцы (июнь-август)
стипендия: 15 000 руб. в месяц 
 
этапы отбора: 
∙ заполнение резюме; 
∙ online тестирование; 
∙ задание от руководителя; 
∙ собеседование. 
 
заявки принимаются до 21 апреля на сайте: https://vk.cc/9fxvhh 🚀
направления стажировки перечислены на картинке 👇🏻

возможно, это ваш шанс провести лето с пользой для будущей карьеры!","['c', 'bi', 'тестирование']"
"«be a name, not a number!» — девиз компании [club29490996|emergn], участника speed dating job interview 25 апреля. 
компания специализируется на разработке программных решений мирового уровня, консалтинге и коучинге. 
офисы emergn расположены в сша, ирландии, великобритании, латвии, россии и украине. центры разработки программных продуктов сосредоточены в россии, латвии и украине. 

в настоящий момент в emergn идет отбор на летнюю стажировку для студентов 2-3 курсов ит-специальностей. на практике за 3 недели вы разработаете гибридное мобильное приложение для решения технических задач разного уровня в формате квиза при помощи технологий java, springboot, rest api, angular, typescript и ionic framework. 
 тех, кто успешно пройдет стажировку, ждут рекомендательные письма, подарки от компании и приглашение на работу 💥

подать заявку на стажировку можно до 8 мая — https://vk.cc/9ii5eq.
 зарегистрироваться на спид дэйтинг, где вы сможете лично пообщаться с представителями компании, можно по ссылке — https://vk.cc/9djdwb.

#итмостажировка","['java', 'c', 'разработка']"
"#итмостажировка

стажировка для начинающего motion-дизайнера в рекламном агентстве мастер ин — это ...

- возможность пополнить портфолио реальными кейсами 
- работать с крупными российскими и международными компаниями (клиентами агентства являются мегафон, билайн, нева милк, сбербанк, hp и др.) 
- работать удаленно
- получить возможность дальнейшего трудоустройства 
- получить рекомендации от федерального рекламного агентства (входит в топ-20 агентств в рубрике «indoor» ррар).

главные обязанности — создание небольших анимационных роликов-заставок и участие в разработке сценариев к роликам.

если вы...

- владеете видеоредакторами
- пунктуальны
- имеете личный пк для работы
- умеете пользоваться видеокамерой, 

то смело присылайте резюме и примеры ваших работ из портфолио на почту kuzina@master-in.ru.","['дизайн', 'разработка']"
"#итмостажировка

оплачиваемая стажировка от сбербанка — #sberseason.

для кого? студенты 3-6 курсов.
когда? отбор заявок с 1.09 по 31.10.2019
какие направления? java, analytics, экономика и финансы. 

вас ждет работа над перспективными проектами под руководством профессионалов, возможность совмещать стажировку с обучением (занятость 20-40 часов в неделю), а также получать до 35 тысяч рублей в месяц! 

❗чтобы стать новым #sbergraduate, перезачесть производственную практику в весеннем семестре, получить в копилку хороший опыт работы, нужно просто подать заявку — https://vk.cc/9m543p.","['java', 'c']"
