,text,class
10,"учиться за границей просто. надо всего лишь подать заявку на конкурс академической мобильности университета итмо ☺

если ты знаешь английский и у тебя активная жизненная позиция, то ты можешь бесплатно проучиться семестр в зарубежном вузе. 

подробнее про программу семестрового обмена здесь: vk.cc/aijfco",0
11,"advert school — это проект в сфере мобильной рекламы, предлагающий обучение-стажировку с последующим трудоустройством. 

познакомиться с представителями школы и руководителем ангелиной беликовой вы сможете 16 июля в 15:00 на чайковского 11/2, ауд. 207.

case-встреча будет состоять из двух частей. 
📍теоретическая — вы узнаете:
- как устроена сфера мобильного маркетинга;
- чем занимается медиабайер;
- какими навыками и качествами нужно обладать, чтобы попасть в эту сферу;
- как это — работать с крупными рекламными кампаниями по всему миру.

📍практическая — case-игра, в которой вы попробуете себя в роли интернет-маркетолога, распоряжающегося большими маркетинговыми бюджетами. 

для участия нужно зарегистрироваться — https://vk.cc/9yu0pe

🙌🏻не упусти шанс 3 в 1: обучение-стажировка-трудоустройство.",0
12,"поехали учиться по обмену? конкурс уже в сентябре! 💥

явки и пароли — в статье:",0
13,"уже стартовала весенняя волна академических обменов. часть ребят уже обживаются за границей и готовятся к первым парам. если вы все упустили, всегда есть возможность поехать на какую-то краткую программу обмена, которых сейчас в изобилии в лучших европейских вузах и не только. вот, например, магистрант факультета технологического менеджмента и инноваций роман евстигнеев провел 10 дней в зимней школе по международному бизнесу в самом крупном частном вузе чехии. будьте как роман.",0
14,"‼внимание всем уезжающим‼скорый поезд итмо-exchange уже отходит со своей платформы!🚆👊🏼
⁉что делать, чтобы не стать прогульщиком во время семестрового обмена⁉

1⃣прислать своё пригласительное письмо (acceptance letter) на почту омоп outgoing@itmo.ru 
2⃣оформить и подписать заявление о направлении. принести его в омоп (ломоносова 9, 1228)
3⃣оформить пояснительную записку к индивидуальному плану. за подробной информацией обращаться в отдел учебно-методического обеспечения учебного процесса (https://www.ifmo.ru/ru/viewunit/58956/otdel_uchebno-metodicheskogo_obespecheniya_uchebnogo_processa.htm)

тадаааа! готово! вы великолепны!😍

p.s: даты в заявлении и пояснительной записке должны совпадать, ориентируйтесь на даты в пригласительном письме. если приглашение из вуза-парнера еще не пришло, не паникуйте! дедлайны еще не везде прошли, а координаторам требуется 4-6 недель для обработки запроса.
p.p.s: не затягивайте с оформлением документов, скоро руководители программ и деканы начнут уходить в отпуска...

более подробная инструкция на сайте https://int.itmo.ru/ru/education_abroad",0
15,"summer bridge scholarship от русско-французской лаборатории университета итмо: присоединяйтесь к междисциплинарному проекту и публикуйте свою первую научную работу!😎

http://news.ifmo.ru/en/education/official/news/8467/?fbclid=iwar1vlujlh9o5rsgyqdhhwgxcoardu-8l6_pbiszrq0n43vvmzv66gwoeh5u",0
16,"#итмостажировка

школа мобильного маркетинга advert school открывает ещё один набор на стажировки с возможностью последующего трудоустройства. 
если вы заинтересованы в сфере мобайла, то эта программа для вас 👇🏻

- бесплатное обучение настройке рекламных кампаний на практике 
- опыт работы с крупнейшими источниками мобильного трафика – facebook и instagram 
- работа с реальными бюджетами и реальными проектами 
- возможность получить крутую работу по окончанию стажировки 
 
старт программы: 25 февраля
локация: м.чернышевская 
продолжительность: 1 месяц 
занятость: 5/2 с 11.00 до 18.00 
стоимость: бесплатно 
 итог стажировки: официальное трудоустройство, достойный доход, участие в проведении масштабных рекламных кампаний, работа в команде high-level профессионалов, успех и признание.

заполняй заявку по ссылке и пройди предварительный отбор: https://vk.cc/92b5nm",1
17,"открыт набор на конкурс study abroad at home в университете итмо и это отличная возможность для учебы вместе с иностранными студентами по обмену! 

держи 5 причин, почему нужно принять участие в конкурсе: 
1. преподавание — на английском языке, в том числе, носителями языка; 
2. учеба в международной группе вместе со студентами из франции, германии, южной кореи, тайваня, финляндии, мексики, чехии и других стран; 
3.модульная система обучения; 
4.возможность выбрать любые три предмета; 
5. сертификат по окончании программы. 

к участию приглашаются все студенты университета итмо. успей до 15 сентября! 

как подать заявку и другие подробности о программе — на нашем сайте: https://vk.cc/9kqpxn",1
18,"стажировки — отличная возможность не только прокачать скиллы, но и побывать в другой стране 🇨🇳
 
так, студенты факультета информационных технологий и программирования никита лисоветин и никита савилов целый месяц прожили в китае, где участвовали в международной программе для молодых предпринимателей start-up china. ребята работали над созданием продуктов, посещали мастер-классы, а еще рассказали нам подробности о стажировке. все записали, читай в материале: https://vk.cc/9fc4il",0
19,"#опытстудента #итмостажировка

одна из компаний-участников завтрашнего speed dating — компания «ярус». студент 4 курса факультета ктиу [id135642831|евгений китов] поделился своим опытом прохождения стажировки в компании. об этом — в нашей сегодняшней статье. 

также не забываем, что спид дэйтинг уже завтра в 18:00, кронверкский, 49, ауд. 206 (возле мед.пункта).",0
20,"университет итмо объявляет конкурс на участие в программе семестрового обмена в рамках международной академической мобильности на весенний семестр 2020. конкурс продлится с 09/09/2019 по 22/09/2019. дедлайн 22/09/2019 23:59.

кто может участвовать? все студенты магистратуры и студенты бакалавриата/специалитетаначиная со 2 курса.

как принять участие? подать заявку на участие в конкурсе через личный кабинет ису. инструкцию ищи в приложенных файлах. не забудь приложить своё cv, motivational letter и сертификат о владении иностранным языком. 

как выбрать зарубежный вуз? список вузов-партнеров университета итмо, которые подходят для семестрового обмена, ты найдешь на сайте, а также в приложенных файлах. обязательно обсуди свой выбор с руководителем своей образовательной программы! 

что делать, если появились вопросы? в нашей группе вк ты можешь найти ответы на большинство вопросов и много другой полезной информации. по вопросам конкурса писать строго на почту: exchange_contest@itmo.ru",0
21,"📅29 января в 14:00 пройдет день открытых дверей online международной магистерской программы квантовые и гибридные материалы физико-технического факультета университета итмо. 
 
⚠программа направлена на подготовку магистров, специализирующихся на междисциплинарных исследованиях в областях квантово-механического моделирования новых материалов и низкоразмерных систем, а также экспериментальных исследованиях в таких динамично развивающихся областях как нанофотоника, науки о материалах, науки о жизни. 

👨‍🎓в дне открытых дверей примут участие руководители программы и научные сотрудники лаборатори фотоники гибридных кристаллов и лаборатории фотопроцессов в мезоскопических системах, на базе которых студенты ведут исследовательскую работу. 

💫вы узнаете о: 
✅двух образовательных траекториях, которые реализуются на программе; 
✅стажировках за рубежом; 
✅возможностях трудоустройства в лаборатории факультета; 
✅возможносях написаниях магистерской диссертации под руководством иностранного профессора. 
 
📝также вам расскажут о вступительных испытаниях, учебном процессе, научной работе и ответят на вопросы, поступившие в ходе трансляции. 
 
📍прямая трансляция будет доступна в группе вк https://vk.com/itmomagistry",0
22,"#итмостажировка в скб-контур и яндексе💥

в компанию скб-контур на стажировку можно попасть по тестовому заданию: 
- backend c#;
- backend java; 
- backend с++; 
- frontend; 
- ux-исследователь; 
- data science; 
- мобильная разработка.
а также пройти отбор по результатам курсов в департамент аналитики и тестирования. 
по ссылке https://vk.cc/8rxbiu вы сможете записаться на курсы и подать заявку на 2-х месячную стажировку! 
также, если вы ещё в поиске места прохождения производственной или преддипломной практики, то смело подавайте заявку https://vk.cc/9dksjw.

а лето вы можете провести так же с огромной пользой. успейте до 31 мая подать заявку на summer internship в яндекс https://vk.cc/4no6t6.
участвуют специалисты c++, python, java, javascript, android, c#, ios, swift, perl, php и все джуниоры в указанных языках.
отбор состоит из 5 этапов, стажировка длится 3 месяца, работа стажера оплачивается.

не упускаем шанс! а также не забываем про мероприятия нашего проекта career weeks —-> https://vk.cc/9dzmm9",1
23,"здесь становятся лидерами👇🏻

школа лидера спбгу — сообщество молодых людей с проактивной позицией и стремлением к саморазвитию.

выпускниками школы стали:
павел дуров — основатель социальной сети «вконтакте»;
антон финогенов — директор института «урбаника»;
дмитрий чухнов — основатель компании «welovesport» и др.

в школе лидера ты сможешь:
👉🏻 развивать управленческий потенциал и узнать себя лучше;
👉🏻 найти помощь в реализации собственного проекта;
👉🏻 получить возможность пройти стажировку в крупной компании;
👉🏻 построить сеть деловых контактов;
👉🏻 познакомиться с успешными менторами, консультантами и лидерами бизнеса (у нас уже запланированы встречи с лидерами компаний osc, арсенал, старлайн, буран и стим).

мы знаем, что ты полон идей, реализовал некоторые из них и хочешь реализовать ещё больше в понимающей и ответственной команде. теперь у тебя есть эта возможность!

успей заполнить анкету до 14 марта:
https://goo.gl/forms/k3gq8z3pp802ty0r2",0
24,"хочешь совершить что-то полезное для этого мира? тогда тебе в компанию инкарт. сюда может попасть каждый студент, начиная со второго курса!

работа предполагает выполнение определенного проекта, в рамках которого вы сможете освоить необходимые навыки для карьерного роста.

на данный момент в компании открыты вакансии:

junior developer / младший программист c++ - https://vk.cc/9grc40

разработчик с++ - https://vk.cc/9grcn7

разработчик .net - https://vk.cc/9grcde

research developer - https://vk.cc/9grdaj

embedded linux developer - https://vk.cc/9grdpb

еще больше вакансий и стажировок по тегам #итмовакансия и #итмостажировка",1
25,"🎓стажировка от huawei в китае: развертывание сети 5g, роботы-доставщики еды и курс на просвещение
📝подробности читайте по ссылке: http://news.ifmo.ru/ru/education/students/news/8435/",0
26,"#итмостажировка в сфере мобильной рекламы в advert school (https://advert.school/). стажировка неоплачиваемая. 
 
старт программы 22.04.2019.
 
тебя ждет две недели полного погружения в профессию:

- настройка мобильной рекламы в facebook;
- поддержка наставника на всех этапах;
- работа с реальными бюджетами в рамках крупных рекламных кампаний;
- возможность устроиться на крутую должность без опыта работы. 
 
предварительные требования: аналитические способности, знание exсel, adobe photoshop или других графических редакторов. 
 
после стажировки возможность трудоустройства с условиями: официальное оформление в штат агентства, достойный уровень дохода (оклад + бонусы), возможность карьерного и личностного роста в команде high-level профессионалов. 
 
✉чтобы записаться, отправляйте cv на kira@adhack.io",1
27,"💥[club97561908|фонд «будущие лидеры»] открывает новый набор в образовательную программу! 

если ты студент 1-3 курса бакалавриата или специалитета, у тебя есть собственный проект и ты хочешь прокачать лидерские качества – жми на ссылку и оставляй заявку 👉🏻 https://vk.com/fbl.russia?w=app5708398_-97561908

присоединяйся к сообществу талантливой и активной молодежи петербурга! 

тебя ждет: 
⭐знакомство и общение с опытными наставниками; 

⭐поддержка в реализации собственных проектов и инициатив; 

⭐тренинги, мастер-классы и лекции от ведущих экспертов различных сфер; 

⭐стажировки в крупных российских и зарубежных компаниях; 

⭐эффективный нетворкинг; 

участие в программе фонда бесплатное! 

подать заявку и прочитать подробности можно на сайте: http://russianleaders.org/profile/konkursnie-otbori

#итальянская16 #фондбудущиелидеры #отборфбл",1
28,"зимняя школа не даёт замёрзнуть!🥶

лекции от александра баулина ([club11982368|forbes]) и ильи смилги ([club94|университет итмо]) в неформальной обстановке для обмена опытом. 

а каток для вдохновения! ведь впереди защита проектных работ. 

генеральный партнер зимней школы — [club22522055|сбербанк]. 

#итмо #itmo #сбербанк #зимняяшколаяпрофи #япрофессионал",0
29,"частые ошибки начинающих карьеристов 🙌🏻🚫

🚫надеяться только на диплом.
каким бы престижным ни был ваш вуз и привлекательной специальность, ваши навыки и опыт спросят так или иначе. не видите сложа руки в ожидании окончания университета. ищите практики/стажировки/вакансии с гибким графиком. наш сайт и группа вам в помощь —--> https://vk.cc/9ea3jw

🚫часто менять место работы.
современные тенденции приведут вскоре к тому, что к 30 годам каждый человек успеет сменить десяток рабочих мест. да, никто не запрещает вам искать самих себя и открывать новые горизонты, но всё же частая смена работы — показатель того, что вы живете без конкретной цели. поэтому важно научиться ее формировать еще в студенческие годы.

🚫игнорировать денежный вопрос или слишком трепетно к нему относиться.
есть разные категории студентов: те, кто настолько застенчивы, и при трудоустройстве стесняются поднимать вопрос зарплаты, и те, кто ищет работу, основываясь только на уровне денежных выплат. и то, и другое - — крайности. денежный вопрос с работодателем нужно решать на собеседовании и не бояться его поднимать. но пока вы еще студент, вам, в первую очередь, как будущему специалисту, необходим опыт, поэтому гнаться за высокими зарплатами еще не время.",0
30,"победители первой научной премии имени ильи сегаловича от [club11283947|яндекса] — это мы!
 
студент фитипа университета итмо арип асадулаев получил грант за исследования в области машинного обучения, а его научный руководитель андрей фильченков — за вклад в развитие научного сообщества и подготовку молодых учёных. поздравляем ребят и коллег из других вузов 💙
 
следите за новостями, скоро опубликуем интервью с победителями.",0
31,"💡золотые наноклетки и канадская наука: магистрантка лаборатории scamt ксения мосина – о международной стажировке в университете ватерлоо
📝подробности читайте по ссылке: http://news.ifmo.ru/ru/education/students/news/8349/",0
32,"вы нас часто спрашиваете (на самом деле): как поступить в магистратуру университета итмо? 
 
узнали подробности у сергея колюбина, руководителя магистерских программ вуза. читайте в интервью, как выбрать «свою» программу, получить грант на научный проект и поступить в магистратуру уже сейчас:",0
33,"поехали учиться за границу! 

к чему готовиться? как не прогадать, выбирая страну, вуз, программу? на что сделать упор при подготовке к поступлению? и как получить стипендию? на эти и другие вопросы мы ответим на бесплатной образовательной выставке qs в санкт-петербурге. 

📅 28 марта, отель «астория», 13:00-18:00 
🆓 вход бесплатный, регистрируйся онлайн: http://bit.ly/2t4rbea",0
34,"день №2 нашей программы повышения квалификации ""коммуникация и продвижение научных исследований"" 😎

сегодня будем учиться работать с научными новостям, пресс-релизами, механизмами продвижения новостей в социальных сетях и немедийными форматами научной коммуникации. 

наши лекторы:
— ольга добровидова, научный и экологический журналист, старший редактор научно-популярного издания n+1, доцент практики университета итмо, стипендиат программы knightsciencejournalism (mit, бостон, сша);
— егор задереев, руководитель группы научных коммуникаций красноярского научного центра со ран;
— юлия шуляк, ведущий специалист отдела по связям с общественностью российского научного фонда (рнф), бывший пресс-секретарь института биоорганической химии ран, вице-президент аксон по образованию.

а уже завтра все участники программы примут участие в iii форуме научных коммуникаторов: https://akson.itmo.ru/ погружение в мир научных коммуникаций на 100% гарантировано 😉",0
35,"не забываем про запись на career weeks ===> https://vk.cc/9dzmm9

ближайшее мероприятие - 3 апреля. экскурсия в офис компании мтс:

- увидим воочию, как работают сотрудники компании;
- послушаем о новейших технологиях, используемых в компании (искусственный интеллект, дополненная реальность);
- узнаем, как попасть на стажировку mts flash и какие бенефиты можно с нее получить.
встречаемся в 10:00 по адресу малая монетная, 2а. 
регистрация - https://vk.cc/9djuup",0
36,"чтобы не только понять, как bi и data science применяются на практике, но и начать их реально использовать, а также получить возможность практики, стажировки в одной из самых известных компаний россии, нужно просто прийти на встречу! 

4 октября в 13:30 вы сможете задать все интересующие вас вопросы лично представителям компании «газпром нефть», узнать об актуальных задачах анализа данных, о практике реализации аналитических решений в крупной компании, а также о возможности оплачиваемой стажировки. 

для участия нужно зарегистрироваться https://gazprom-neft.timepad.ru/event/1051219/",0
37,"благодаря мегагранту от правительства россии, в международном научном центре scamt появится новая лаборатория инновационных материалов. как университету итмо удалось получить грант и какие проекты будут реализовывать в новой лаборатории, читайте в материале itmo.news.",0
38,"baker hughes – ведущая нефтесервисная компания с вековой репутацией запускает программу lead. не стажировка, штатная позиция. и значит, что вы будете полноценным сотрудником baker hughes, имея соответствующую заработную плату и возможность использовать все ресурсы компании для собственного развития в нефтегазовой отрасли. 
 
при успешном завершении программы сотрудники получают возможность претендовать на руководящую должность в одном из многочисленных подразделений компании.

потенциальный успешный кандидат:

- выпускник технического вуза; 
- окончил вуз в период с 2018 по 2019 год; 
- владеет английским языком на уровне upper-intermediate; 
- мобильный и готовый к частым командировкам; 
- амбициозный и готовый обучаться для головокружительного роста в компании.

оставить заявку и ознакомиться с этапами отбора можно по ссылке https://fut.ru/4s.

#итмовакансия #итмостажировка",1
